"totalReceived","sumOfSqrt","matched","matchedUSD","projectName","payoutAddress","contributionsCount","projectId","applicationId","revisedContributionCount","revisedMatch"
"371085843","55134","116578372","116.79676992","PoSciDonDAO","0x681237e285d8630e992D2DbbDd8F2FAf1435bD36","105","0x20418f6075ca2e2ea24cc65b23137112c862860ce78ce0cdca9dc39894271f7f","13","105","116578372"
"76638344","51204","111184854","111.3931477","OpenCann","0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56","120","0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e","11","120","111184854"
"50902243","46324","91518629","91.69007999","SpaceRadar","0x279C05Bc10A34a1608b928014A14735839AB81a7","120","0x7a1fc973b8fbfc61920f548d353857325b07124b9b612666884cc1236f746883","12","120","91518629"
"55312212","42891","77946890","78.0929157","Astrochain - Decentralized Science","0xADD01bcD655d3d1b622E91a427b04981596237fA","116","0x97514dd6a6ccb22ac7d7604e7de3ffb1cb46fbee20c4765508010bd94d2568f0","0","116","77946890"
"57925329","42489","76333063","76.47606536","The DeSci Journals","0xBcF043c725e02c4B7211DB8878A1Fb0ff1b1349F","113","0xf68a03b68a7784833609e7fc85c0340ed083353c12bb3cc33b5b99c1ec1e6938","9","113","76333063"
"60187265","41137","71295427","71.42899185","EcoSynthesisX ","0x3f731d8a2e85ab6c80c98983aa4e4016f4735505","110","0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370","7","110","71295427"
"54248213","40290","68542190","68.67059693","DeSci Youths","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","113","0xd3a281bd6e966b27307cf2cf7f315f0919caabd1c0e64e63c63682ef16255ab8","2","113","68542190"
"57995256","37751","59722826","59.83471074","Thrive on Mars","0x72DF79D9Bd1FB68819699aF3e95FEb6bc92148cb","109","0x95e96561ad122dd02be9f6c1e1b9523ac221769c078e67ff3f5a9b95118388c6","6","109","59722826"
"45069318","36072","54872749","54.9755476","Masterminding Eden - Visionary Village","0x6D53F874cC91E8c9122386894829DeF34774Ef1F","110","0x03e6324ab71303fb90d59a972f918fb86e74c475eb8dba52b956fc26842d90f8","4","110","54872749"
"35330517","35384","53150542","53.25011422","Follow The Black Hare","0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37","101","0xa049a60510e0962906b3c4ad74e81c6c8f864cc147e736bd9979acd30b55dff3","10","101","53150542"
"42178592","35460","53086595","53.18604742","Orbuculum","0xB8cBcc26E6E973040941B32733FA296996a0F5A6","114","0xa5767fc042936a78ada53bff292f090cbe5ae806a5f280e321e9d894b0980b93","1","114","53086595"
"27619524","33002","46371780","46.45865289","DeSci Africa","0xcE75b62f12ae1F891bA6222c52a630aa36127142","113","0x6e80406c072092866a8d0f84194b92d681a389526f1a5ee0beed0cc2fbd21174","5","113","46371780"
"38992480","32983","45819824","45.90566285","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","0x043d5dE5e0382689908994158010948762D2481F","107","0x661b253b58854a0f86ab612f72199b61ef3a3dcf7ee08927ae2b2b2844a24753","8","107","45819824"
"26509632","27714","32394570","32.45525798","IberoAm: Blockchain Innovation Hub","0x1E91264736008082BF63B6C20d36a93A329083D8","105","0xca42ca9bf8ffcd624a6552a0f953d5eb926d221520592350aacdec70a7eac1e2","3","105","32394570"
"31457296","23775","23318808","23.36249345","Spacefarer phenome","0x59041d70deAEfe849A48E77e0b273DdD072eA9e4","56","0x9a3cd901708bc4b4fe09496cb6cbf4f93633cfea13fef9b19ad09a550fb9e32d","15","56","23318808"
"21136036","20087","16703160","16.73445169","Cx Bio | Food Beyond Gravity","0xd5357Ceb1144C372Ab377301E715bB6A73006303","94","0xb93fd3e8eb5b9264f87bd8ea87544850a1ec18916d640a7ebc33c4ceb408e070","14","94","16703160"
"3324738","5465","1159714","1.1618866","VinQ: Decentralized co-creation community for regenerative viticulture","0x834f240B6dEdc7a0Cf6ae908115B5f0054fC81a4","26","0xed0329b547363295b7ba001885aa43ca88fe757be984c836d664cdc621b60708","16","26","1159714"
